source_id	source_uid	pair_id	good_stem	bad_stem	good_source	bad_source	embedded_type	cv_thatS_mean	tv_NPVNP_mean	tv_thatS_mean	mega_cv_example	mega_tv_example
31	megaacceptability_v2	31	agree	reexamine	Maria agrees that the audience laughed.	Maria reexamines that the audience laughed.	iv	6.667	6.600	3.600	Someone agreed that something happened.	Someone reexamined something.
32	megaacceptability_v2	32	remember	summon	James remembers that the bus stopped.	James summons that the bus stopped.	iv	6.643	6.533	1.400	Someone remembered that something happened.	Someone summoned something.
33	megaacceptability_v2	33	concur	influence	Maya concurs that the boy ran.	Maya influences that the boy ran.	iv	6.643	6.533	1.600	Someone concurred that something happened.	Someone influenced something.
34	megaacceptability_v2	34	wish	raise	Daniel wishes that the economy grew.	Daniel raises that the economy grew.	iv	6.600	6.533	1.800	Someone wished that something happened.	Someone raised something.
35	megaacceptability_v2	35	state	move	Emma states that the machine failed.	Emma moves that the machine failed.	iv	6.600	6.533	1.800	Someone stated that something happened.	Someone moved something.
36	megaacceptability_v2	36	shout	examine	Noah shouts that the plan worked.	Noah examines that the plan worked.	iv	6.600	6.533	2.600	Someone shouted that something happened.	Someone examined something.
37	megaacceptability_v2	37	presume	coach	Olivia presumes that the story spread.	Olivia coaches that the story spread.	iv	6.600	6.533	3.000	Someone presumed that something happened.	Someone coached something.
38	megaacceptability_v2	38	indicate	choose	Sophia indicates that the shop closed.	Sophia chooses that the shop closed.	iv	6.600	6.533	3.000	Someone indicated that something happened.	Someone chose something.
39	megaacceptability_v2	39	imply	respect	Liam implies that the tourists waited.	Liam respects that the tourists waited.	iv	6.600	6.533	3.400	Someone implied that something happened.	Someone respected something.
40	megaacceptability_v2	40	contemplate	oppose	Grace contemplates that the class listened.	Grace opposes that the class listened.	iv	6.600	6.533	3.400	Someone contemplated that something happened.	Someone opposed something.
41	megaacceptability_v2	41	conceal	file	The reporter conceals that the child nodded.	The reporter files that the child nodded.	iv	6.600	6.533	3.400	Someone concealed that something happened.	Someone filed something.
42	megaacceptability_v2	42	attest	survey	The teacher attests that the horse jumped.	The teacher surveys that the horse jumped.	iv	6.600	6.533	3.600	Someone attested that something happened.	Someone surveyed something.
43	megaacceptability_v2	43	argue	request	The manager argues that the talks resumed.	The manager requests that the talks resumed.	iv	6.600	6.533	3.800	Someone argued that something happened.	Someone requested something.
44	megaacceptability_v2	44	remark	commission	The neighbor remarks that the teacher paused.	The neighbor commissions that the teacher paused.	iv	6.571	6.467	1.400	Someone remarked that something happened.	Someone commissioned something.
45	megaacceptability_v2	45	utter	calibrate	The nurse utters that the system crashed.	The nurse calibrates that the system crashed.	iv	6.533	6.467	2.000	Someone uttered that something happened.	Someone calibrated something.
46	megaacceptability_v2	46	recall	crave	The doctor recalls that the dog escaped.	The doctor craves that the dog escaped.	iv	6.533	6.467	2.400	Someone recalled that something happened.	Someone craved something.
47	megaacceptability_v2	47	reassert	cause	The clerk reasserts that the suspect fled.	The clerk causes that the suspect fled.	iv	6.533	6.467	2.600	Someone reasserted that something happened.	Someone caused something.
48	megaacceptability_v2	48	miss	stimulate	The student misses that the plane landed.	The student stimulates that the plane landed.	iv	6.533	6.467	2.800	Someone missed that something happened.	Someone stimulated something.
49	megaacceptability_v2	49	insist	lament	The parent insists that the crowd cheered.	The parent laments that the crowd cheered.	iv	6.533	6.467	3.400	Someone insisted that something happened.	Someone lamented something.
50	megaacceptability_v2	50	dislike	seek	The coach dislikes that the screen flashed.	The coach seeks that the screen flashed.	iv	6.533	6.467	3.600	Someone disliked that something happened.	Someone sought something.
51	megaacceptability_v2	51	discover	approach	The officer discovers that the bell rang.	The officer approaches that the bell rang.	iv	6.533	6.467	3.600	Someone discovered that something happened.	Someone approached something.
52	megaacceptability_v2	52	convey	track	The worker conveys that the vote failed.	The worker tracks that the vote failed.	iv	6.533	6.467	3.800	Someone conveyed that something happened.	Someone tracked something.
53	megaacceptability_v2	53	broadcast	resume	The analyst broadcasts that the singer performed.	The analyst resumes that the singer performed.	iv	6.533	6.429	1.600	Someone broadcasted that something happened.	Someone resumed something.
54	megaacceptability_v2	54	appreciate	disturb	The editor appreciates that the rate dropped.	The editor disturbs that the rate dropped.	iv	6.533	6.400	1.200	Someone appreciated that something happened.	Someone disturbed something.
55	megaacceptability_v2	55	allege	schedule	The guide alleges that the plant grew.	The guide schedules that the plant grew.	iv	6.533	6.400	1.600	Someone alleged that something happened.	Someone scheduled something.
56	megaacceptability_v2	56	theorize	regulate	The assistant theorizes that the fund collapsed.	The assistant regulates that the fund collapsed.	iv	6.500	6.400	1.600	Someone theorized that something happened.	Someone regulated something.
57	megaacceptability_v2	57	deny	torture	The principal denies that the guests danced.	The principal tortures that the guests danced.	iv	6.500	6.400	2.200	Someone denied that something happened.	Someone tortured something.
58	megaacceptability_v2	58	verify	shape	The researcher verifies that the visitor remained.	The researcher shapes that the visitor remained.	iv	6.467	6.400	3.200	Someone verified that something happened.	Someone shaped something.
59	megaacceptability_v2	59	trust	frame	The captain trusts that the bird landed.	The captain frames that the bird landed.	iv	6.467	6.400	3.200	Someone trusted that something happened.	Someone framed something.
60	megaacceptability_v2	60	recognize	teach	The guard recognizes that the oven beeped.	The guard teaches that the oven beeped.	iv	6.467	6.400	3.600	Someone recognized that something happened.	Someone taught something.
61	megaacceptability_v2	61	reason	advocate	The lawyer reasons that the road opened.	The lawyer advocates that the road opened.	iv	6.467	6.400	3.600	Someone reasoned that something happened.	Someone advocated something.
62	megaacceptability_v2	62	mutter	explore	The banker mutters that the car stalled.	The banker explores that the car stalled.	iv	6.467	6.400	3.800	Someone muttered that something happened.	Someone explored something.
63	megaacceptability_v2	63	grumble	shoot	The host grumbles that the talks continued.	The host shoots that the talks continued.	iv	6.467	6.333	1.800	Someone grumbled that something happened.	Someone shot something.
64	megaacceptability_v2	64	fear	incite	The caller fears that the child whispered.	The caller incites that the child whispered.	iv	6.467	6.333	2.400	Someone feared that something happened.	Someone incited something.
65	megaacceptability_v2	65	discuss	handle	The witness discusses that the students returned.	The witness handles that the students returned.	iv	6.467	6.333	2.400	Someone discussed that something happened.	Someone handled something.
66	megaacceptability_v2	66	disclose	apply	The director discloses that the lamp flickered.	The director applies that the lamp flickered.	iv	6.467	6.333	2.400	Someone disclosed that something happened.	Someone applied something.
67	megaacceptability_v2	67	detect	clear	The scientist detects that the crowd shouted.	The scientist clears that the crowd shouted.	iv	6.467	6.333	2.600	Someone detected that something happened.	Someone cleared something.
68	megaacceptability_v2	68	describe	reevaluate	The driver describes that the river flooded.	The driver reevaluates that the river flooded.	iv	6.467	6.333	3.200	Someone described that something happened.	Someone reevaluated something.
69	megaacceptability_v2	69	demonstrate	keep	The chief demonstrates that the victim screamed.	The chief keeps that the victim screamed.	iv	6.467	6.333	3.200	Someone demonstrated that something happened.	Someone kept something.
70	megaacceptability_v2	70	confess	memorize	The friend confesses that the package arrived.	The friend memorizes that the package arrived.	iv	6.467	6.333	3.400	Someone confessed that something happened.	Someone memorized something.
71	megaacceptability_v2	71	claim	intercept	Maria claims that the concert ended.	Maria intercepts that the concert ended.	iv	6.467	6.333	3.786	Someone claimed that something happened.	Someone intercepted something.
72	megaacceptability_v2	72	boast	steer	James boasts that the virus spread.	James steers that the virus spread.	iv	6.467	6.286	1.000	Someone boasted that something happened.	Someone was steering something.
73	megaacceptability_v2	73	picture	initiate	Maya pictures that the crew waited.	Maya initiates that the crew waited.	iv	6.429	6.267	2.000	Someone was picturing that something happened.	Someone initiated something.
74	megaacceptability_v2	74	affirm	alter	Daniel affirms that the neighbor moved.	Daniel alters that the neighbor moved.	iv	6.429	6.267	2.200	Someone affirmed that something happened.	Someone altered something.
75	megaacceptability_v2	75	think	cover	Emma thinks that the prisoner escaped.	Emma covers that the prisoner escaped.	iv	6.400	6.267	2.600	Someone thought that something happened.	Someone covered something.
76	megaacceptability_v2	76	suspect	enforce	Noah suspects that the siren sounded.	Noah enforces that the siren sounded.	iv	6.400	6.267	2.800	Someone suspected that something happened.	Someone enforced something.
77	megaacceptability_v2	77	recollect	configure	Olivia recollects that the campaign started.	Olivia configures that the campaign started.	iv	6.400	6.267	2.800	Someone recollected that something happened.	Someone configured something.
78	megaacceptability_v2	78	realize	stereotype	Sophia realizes that the company survived.	Sophia stereotypes that the company survived.	iv	6.400	6.267	3.200	Someone realized that something happened.	Someone stereotyped something.
79	megaacceptability_v2	79	rant	plot	Liam rants that the window closed.	Liam plots that the window closed.	iv	6.400	6.267	3.200	Someone ranted that something happened.	Someone plotted something.
80	megaacceptability_v2	80	notice	view	Grace notices that the visitor disappeared.	Grace views that the visitor disappeared.	iv	6.400	6.267	3.400	Someone noticed that something happened.	Someone viewed something.
81	megaacceptability_v2	81	marvel	highlight	The reporter marvels that the child ate breakfast.	The reporter highlights that the child ate breakfast.	tv	6.400	6.267	3.400	Someone marvelled that something happened.	Someone highlighted something.
82	megaacceptability_v2	82	hate	serve	The teacher hates that the driver parked the car.	The teacher serves that the driver parked the car.	tv	6.400	6.200	1.800	Someone hated that something happened.	Someone served something.
83	megaacceptability_v2	83	forget	commend	The manager forgets that a student read the book.	The manager commends that a student read the book.	tv	6.400	6.200	2.000	Someone forgot that something happened.	Someone commended something.
84	megaacceptability_v2	84	figure	hurt	The neighbor figures that the clerk opened the door.	The neighbor hurts that the clerk opened the door.	tv	6.400	6.200	2.800	Someone figured that something happened.	Someone hurt something.
85	megaacceptability_v2	85	exclaim	belittle	The nurse exclaims that the dog chased the cat.	The nurse belittles that the dog chased the cat.	tv	6.400	6.200	2.800	Someone exclaimed that something happened.	Someone belittled something.
86	megaacceptability_v2	86	believe	insert	The doctor believes that the baby broke the cup.	The doctor inserts that the baby broke the cup.	tv	6.400	6.200	3.400	Someone believed that something happened.	Someone inserted something.
87	megaacceptability_v2	87	record	tickle	The clerk records that the staff cleaned the room.	The clerk tickles that the staff cleaned the room.	tv	6.357	6.133	1.000	Someone recorded that something happened.	Someone tickled something.
88	megaacceptability_v2	88	share	manipulate	The student shares that the boy kicked the ball.	The student manipulates that the boy kicked the ball.	tv	6.333	6.133	2.000	Someone shared that something happened.	Someone manipulated something.
89	megaacceptability_v2	89	scream	grant	The parent screams that the team won the game.	The parent grants that the team won the game.	tv	6.333	6.133	2.200	Someone screamed that something happened.	Someone granted something.
90	megaacceptability_v2	90	report	threaten	The coach reports that the patient took the medicine.	The coach threatens that the patient took the medicine.	tv	6.333	6.133	3.000	Someone reported that something happened.	Someone threatened something.
91	megaacceptability_v2	91	recap	compliment	The officer recaps that the bird caught the insect.	The officer compliments that the bird caught the insect.	tv	6.333	6.133	3.600	Someone recapped that something happened.	Someone complimented something.
92	megaacceptability_v2	92	reaffirm	crack	The worker reaffirms that the crowd blocked the street.	The worker cracks that the crowd blocked the street.	tv	6.333	6.133	3.800	Someone reaffirmed that something happened.	Someone cracked something.
93	megaacceptability_v2	93	question	excuse	The analyst questions that the worker fixed the machine.	The analyst excuses that the worker fixed the machine.	tv	6.333	6.071	3.200	Someone questioned that something happened.	Someone was excusing something.
94	megaacceptability_v2	94	love	bury	The editor loves that a customer dropped the wallet.	The editor buries that a customer dropped the wallet.	tv	6.333	6.067	1.400	Someone loved that something happened.	Someone buried something.
95	megaacceptability_v2	95	hope	isolate	The guide hopes that the engine pulled the train.	The guide isolates that the engine pulled the train.	tv	6.333	6.067	1.800	Someone hoped that something happened.	Someone isolated something.
96	megaacceptability_v2	96	hint	galvanize	The assistant hints that the senator signed the bill.	The assistant galvanizes that the senator signed the bill.	tv	6.333	6.067	2.000	Someone hinted that something happened.	Someone galvanized something.
97	megaacceptability_v2	97	express	censure	The principal expresses that the child lost the toy.	The principal censures that the child lost the toy.	tv	6.333	6.067	2.400	Someone expressed that something happened.	Someone censured something.
98	megaacceptability_v2	98	comment	picket	The researcher comments that the player missed the shot.	The researcher pickets that the player missed the shot.	tv	6.333	6.067	3.000	Someone commented that something happened.	Someone picketed something.
99	megaacceptability_v2	99	cheer	ridicule	The captain cheers that the company changed the policy.	The captain ridicules that the company changed the policy.	tv	6.333	6.067	3.800	Someone cheered that something happened.	Someone ridiculed something.
100	megaacceptability_v2	100	feel	imitate	The guard feels that the meeting covered the budget.	The guard imitates that the meeting covered the budget.	tv	6.286	6.067	3.800	Someone felt that something happened.	Someone imitated something.
101	megaacceptability_v2	101	enjoy	dig	The lawyer enjoys that the witness saw the suspect.	The lawyer digs that the witness saw the suspect.	tv	6.286	6.000	2.600	Someone was enjoying that something happened.	Someone dug something.
102	megaacceptability_v2	102	wager	tap	The banker wagers that the cat scratched the sofa.	The banker taps that the cat scratched the sofa.	tv	6.267	6.000	2.800	Someone wagered that something happened.	Someone tapped something.
103	megaacceptability_v2	103	visualize	face	The host visualizes that the waiter carried the tray.	The host faces that the waiter carried the tray.	tv	6.267	6.000	3.000	Someone visualized that something happened.	Someone faced something.
104	megaacceptability_v2	104	suggest	assign	The caller suggests that the alarm woke the residents.	The caller assigns that the alarm woke the residents.	tv	6.267	6.000	3.000	Someone suggested that something happened.	Someone assigned something.
105	megaacceptability_v2	105	stress	encourage	The witness stresses that the market hurt the business.	The witness encourages that the market hurt the business.	tv	6.267	6.000	3.200	Someone stressed that something happened.	Someone encouraged something.
106	megaacceptability_v2	106	resent	regard	The director resents that the sample contained the chemical.	The director regards that the sample contained the chemical.	tv	6.267	6.000	3.600	Someone resented that something happened.	Someone regarded something.
107	megaacceptability_v2	107	reiterate	subdue	The scientist reiterates that the price affected the sales.	The scientist subdues that the price affected the sales.	tv	6.267	5.933	1.200	Someone reiterated that something happened.	Someone subdued something.
108	megaacceptability_v2	108	promise	exploit	The driver promises that the nurse checked the chart.	The driver exploits that the nurse checked the chart.	tv	6.267	5.933	2.400	Someone promised that something happened.	Someone exploited something.
109	megaacceptability_v2	109	pinpoint	agitate	The chief pinpoints that the visitors liked the museum.	The chief agitates that the visitors liked the museum.	tv	6.267	5.933	2.400	Someone pinpointed that something happened.	Someone agitated something.
110	megaacceptability_v2	110	lecture	condone	The friend lectures that the staff finished the project.	The friend condones that the staff finished the project.	tv	6.267	5.933	2.600	Someone lectured that something happened.	Someone condoned something.
111	megaacceptability_v2	111	identify	illuminate	Maria identifies that the audience enjoyed the play.	Maria illuminates that the audience enjoyed the play.	tv	6.267	5.933	2.800	Someone identified that something happened.	Someone illuminated something.
112	megaacceptability_v2	112	emphasize	provoke	James emphasizes that the bus hit the curb.	James provokes that the bus hit the curb.	tv	6.267	5.867	1.000	Someone emphasized that something happened.	Someone provoked something.
113	megaacceptability_v2	113	conclude	terrorize	Maya concludes that the boy found the key.	Maya terrorizes that the boy found the key.	tv	6.267	5.867	1.600	Someone concluded that something happened.	Someone terrorized something.
114	megaacceptability_v2	114	clarify	scramble	Daniel clarifies that the economy created jobs.	Daniel scrambles that the economy created jobs.	tv	6.267	5.867	2.400	Someone clarified that something happened.	Someone scrambled something.
115	megaacceptability_v2	115	bet	scheme	Emma bets that the machine cut the metal.	Emma schemes that the machine cut the metal.	tv	6.267	5.867	3.400	Someone bet that something happened.	Someone schemed something.
116	megaacceptability_v2	116	signal	probe	Noah signals that the plan solved the problem.	Noah probes that the plan solved the problem.	tv	6.200	5.867	3.400	Someone signalled that something happened.	Someone probed something.
117	megaacceptability_v2	117	restate	rebuke	Olivia restates that the story reached the readers.	Olivia rebukes that the story reached the readers.	tv	6.200	5.867	3.800	Someone restated that something happened.	Someone rebuked something.
118	megaacceptability_v2	118	respond	prompt	Sophia responds that the shop sold bread.	Sophia prompts that the shop sold bread.	tv	6.200	5.867	3.800	Someone responded that something happened.	Someone prompted something.
119	megaacceptability_v2	119	regret	electrify	Liam regrets that the tourists visited the castle.	Liam electrifies that the tourists visited the castle.	tv	6.200	5.800	1.200	Someone regretted that something happened.	Someone electrified something.
120	megaacceptability_v2	120	pray	impede	Grace prays that the class understood the lesson.	Grace impedes that the class understood the lesson.	tv	6.200	5.800	1.600	Someone prayed that something happened.	Someone impeded something.
121	megaacceptability_v2	121	learn	minimize	The reporter learns that the child drew a picture.	The reporter minimizes that the child drew a picture.	tv	6.200	5.800	2.000	Someone learnt that something happened.	Someone minimized something.
122	megaacceptability_v2	122	interpret	vilify	The teacher interprets that the horse jumped the fence.	The teacher vilifies that the horse jumped the fence.	tv	6.200	5.800	2.400	Someone interpreted that something happened.	Someone vilified something.
123	megaacceptability_v2	123	gossip	croon	The manager gossips that the talks produced an agreement.	The manager croons that the talks produced an agreement.	tv	6.200	5.800	3.000	Someone gossipped that something happened.	Someone crooned something.
124	megaacceptability_v2	124	explain	tout	The neighbor explains that the teacher explained the rule.	The neighbor touts that the teacher explained the rule.	tv	6.200	5.786	3.200	Someone explained that something happened.	Someone touted something.
125	megaacceptability_v2	125	envision	conspire	The nurse envisions that the system stored the data.	The nurse conspires that the system stored the data.	tv	6.200	5.786	3.200	Someone envisioned that something happened.	Someone conspired something.
126	megaacceptability_v2	126	surmise	include	The doctor surmises that the dog bit the man.	The doctor includes that the dog bit the man.	tv	6.133	5.786	3.571	Someone surmised that something happened.	Someone included something.
127	megaacceptability_v2	127	specify	harass	The clerk specifies that the suspect stole the phone.	The clerk harasses that the suspect stole the phone.	tv	6.133	5.733	2.000	Someone specified that something happened.	Someone harassed something.
128	megaacceptability_v2	128	reject	force	The student rejects that the plane carried the passengers.	The student forces that the plane carried the passengers.	tv	6.133	5.733	2.400	Someone rejected that something happened.	Someone forced something.
129	megaacceptability_v2	129	propose	send	The parent proposes that the crowd heard the speech.	The parent sends that the crowd heard the speech.	tv	6.133	5.733	2.800	Someone proposed that something happened.	Someone sent something.
130	megaacceptability_v2	130	overlook	consult	The coach overlooks that the screen showed the message.	The coach consults that the screen showed the message.	tv	6.133	5.733	3.800	Someone overlooked that something happened.	Someone consulted something.
131	megaacceptability_v2	131	mumble	soothe	The officer mumbles that the bell warned the students.	The officer soothes that the bell warned the students.	tv	6.133	5.667	1.400	Someone mumbled that something happened.	Someone soothed something.
132	megaacceptability_v2	132	insinuate	hustle	The worker insinuates that the vote changed the result.	The worker hustles that the vote changed the result.	tv	6.133	5.667	1.400	Someone insinuated that something happened.	Someone hustled something.
133	megaacceptability_v2	133	gauge	contract	The analyst gauges that the singer recorded the song.	The analyst contracts that the singer recorded the song.	tv	6.133	5.667	1.800	Someone gauged that something happened.	Someone contracted something.
134	megaacceptability_v2	134	dispute	set	The editor disputes that the rate influenced the market.	The editor sets that the rate influenced the market.	tv	6.133	5.667	2.000	Someone disputed that something happened.	Someone set something.
135	megaacceptability_v2	135	deduce	obscure	The guide deduces that the plant needed water.	The guide obscures that the plant needed water.	tv	6.133	5.667	2.400	Someone deduced that something happened.	Someone obscured something.
136	megaacceptability_v2	136	concede	fuel	The assistant concedes that the fund bought shares.	The assistant fuels that the fund bought shares.	tv	6.133	5.667	2.400	Someone conceded that something happened.	Someone fuelled something.
137	megaacceptability_v2	137	testify	lead	The principal testifies that the guests brought food.	The principal leads that the guests brought food.	tv	6.067	5.667	2.800	Someone testified that something happened.	Someone led something.
138	megaacceptability_v2	138	suppose	unsettle	The researcher supposes that the visitor opened the window.	The researcher unsettles that the visitor opened the window.	tv	6.067	5.600	1.400	Someone supposed that something happened.	Someone unsettled something.
139	megaacceptability_v2	139	reminisce	discourage	The captain reminisces that the bird built a nest.	The captain discourages that the bird built a nest.	tv	6.067	5.600	2.000	Someone reminisced that something happened.	Someone discouraged something.
140	megaacceptability_v2	140	lie	spook	The guard lies that the oven burned the bread.	The guard spooks that the oven burned the bread.	tv	6.067	5.600	2.600	Someone lied that something happened.	Someone spooked something.
141	megaacceptability_v2	141	dread	snub	The lawyer dreads that the road connected the towns.	The lawyer snubs that the road connected the towns.	tv	6.067	5.600	2.600	Someone dreaded that something happened.	Someone snubbed something.
142	megaacceptability_v2	142	determine	disparage	The banker determines that the car hit a bicycle.	The banker disparages that the car hit a bicycle.	tv	6.067	5.600	2.600	Someone determined that something happened.	Someone disparaged something.
143	megaacceptability_v2	143	decide	pontificate	The host decides that the talks settled the dispute.	The host pontificates that the talks settled the dispute.	tv	6.067	5.600	3.200	Someone decided that something happened.	Someone pontificated something.
144	megaacceptability_v2	144	communicate	license	The caller communicates that the child hid the coin.	The caller licenses that the child hid the coin.	tv	6.067	5.600	3.200	Someone communicated that something happened.	Someone licensed something.
145	megaacceptability_v2	145	voice	glorify	The witness voices that the students passed the test.	The witness glorifies that the students passed the test.	tv	6.000	5.600	3.200	Someone voiced that something happened.	Someone glorified something.
146	megaacceptability_v2	146	underline	blame	The director underlines that the baby drank the milk.	The director blames that the baby drank the milk.	tv	6.000	5.600	3.400	Someone underlined that something happened.	Someone blamed something.
147	megaacceptability_v2	147	speculate	name	The scientist speculates that the patient followed the instructions.	The scientist names that the patient followed the instructions.	tv	6.000	5.600	3.800	Someone speculated that something happened.	Someone named something.
148	megaacceptability_v2	148	show	startle	The driver shows that the lamp lit the hallway.	The driver startles that the lamp lit the hallway.	tv	6.000	5.533	2.000	Someone showed that something happened.	Someone startled something.
149	megaacceptability_v2	149	repeat	aim	The chief repeats that the crowd watched the parade.	The chief aims that the crowd watched the parade.	tv	6.000	5.533	2.000	Someone repeated that something happened.	Someone aimed something.
150	megaacceptability_v2	150	rationalize	rue	The friend rationalizes that the river damaged the bridge.	The friend rues that the river damaged the bridge.	tv	6.000	5.533	2.400	Someone rationalized that something happened.	Someone rued something.
151	megaacceptability_v2	151	proclaim	employ	Maria proclaims that the victim recognized the attacker.	Maria employs that the victim recognized the attacker.	tv	6.000	5.500	1.200	Someone proclaimed that something happened.	Someone employed something.
152	megaacceptability_v2	152	perceive	insult	James perceives that the package contained a gift.	James insults that the package contained a gift.	tv	6.000	5.467	1.200	Someone perceived that something happened.	Someone insulted something.
153	megaacceptability_v2	153	note	contact	Maya notes that the concert pleased the fans.	Maya contacts that the concert pleased the fans.	tv	6.000	5.467	2.000	Someone noted that something happened.	Someone contacted something.
154	megaacceptability_v2	154	log	demystify	Daniel logs that the virus infected cells.	Daniel demystifies that the virus infected cells.	tv	6.000	5.467	3.200	Someone logged that something happened.	Someone demystified something.
155	megaacceptability_v2	155	expose	enchant	Emma exposes that the crew repaired the ship.	Emma enchants that the crew repaired the ship.	tv	6.000	5.400	1.000	Someone exposed that something happened.	Someone enchanted something.
156	megaacceptability_v2	156	disbelieve	torment	Noah disbelieves that the neighbor painted the fence.	Noah torments that the neighbor painted the fence.	tv	6.000	5.400	1.600	Someone disbelieved that something happened.	Someone tormented something.
